resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,3,0.42,619,2,2,1,2,3899.8439999995753
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,4,0.44,719,2,2,1,3,4516.485999978613
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,8,0.46,1529,2,2,1,5,8366.331999946851
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,5,0.48,705,1,2,0,4,5233.1239999621175
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,7,0.52,1167,2,1,0,5,7199.711999972351
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,1,0.54,2929,1,1,1,0,0
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,6,0.56,1241,1,1,1,4,5949.761999945622
11001,1123,52,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,2,0.68,971,1,1,1,1,2933.2159999758005
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,1,1,5,0.42,1119,2,2,1,1,9781.257086747631
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,2,1,1,0.44,2249,1,2,0,0,0
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,3,1,3,0.46,1667,1,2,0,1,5107.393012028479
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,4,1,8,0.48,712,2,2,1,4,12507.336318047397
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,5,1,4,0.52,-1,-1,1,-1,1,6778.285620769864
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,6,1,7,0.54,779,1,1,1,3,11723.03499830504
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,7,1,6,0.56,814,1,1,1,2,10904.766677966501
11006,1124,24,female,community,study6bp,3,3,0,0,0,0,0,8,1,2,0.68,2841,1,1,1,0,2254.2716284615453
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,1,1,4,0.42,492,2,2,1,2,2540.483506849312
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,2,1,8,0.44,465,2,2,1,6,4914.66812785386
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,3,1,6,0.46,451,2,2,1,4,3791.7536438356037
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,4,1,2,0.48,849,1,2,0,1,951.0756529680366
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,5,1,7,0.52,654,1,1,1,5,4247.1817351598
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,6,1,1,0.54,938,1,1,1,0,0
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,7,1,5,0.56,740,1,1,1,3,3041.0239999999903
11011,1125,17,female,firstyear,study6bp,3,3,0,0,0,0,0,8,1,3,0.68,731,1,1,1,1,1804.7742831050127
11014,1126,17,male,firstyear,study6bp,3,3,0,0,0,0,0,1,1,2,0.42,1397,2,2,1,1,1051.1970477021823
11014,1126,17,male,firstyear,study6bp,3,3,0,0,0,0,0,2,1,4,0.44,1202,2,2,1,2,3155.03011943445
11014,1126,17,male,firstyear,study6bp,3,3,0,0,0,0,0,3,1,5,0.46,968,2,2,1,3,4373.233754456989
11014,1126,17,male,firstyear,study6bp,3,3,0,0,0,0,0,4,1,3,0.48,699,1,2,0,2,2451.9879002079833
11014,1126,17,male,firstyear,study6bp,3,3,0,0,0,0,0,5,1,1,0.52,1036,1,1,1,0,0
11014,1126,17,male,firstyear,study6bp,3,3,0,0,0,0,0,6,1,6,0.54,802,1,1,1,4,5345.567651905658
