"ResultsId","ExpId","1-Finished","1-FinishGain","1-MaxDuration","1-PotentialGain","1-RequiredAccuracy","1-StartGain","2-Finished","2-FinishGain","2-MaxDuration","2-PotentialGain","2-RequiredAccuracy","2-StartGain","3-1-1-Angle","3-1-1-Block","3-1-1-Coherence","3-1-1-CorrectResponse","3-1-1-IsCorrect","3-1-1-Order","3-1-1-Response","3-1-1-StartCorrect","3-1-1-StartDuration","3-1-1-StartScore","3-1-1-Time","3-1-2-Angle","3-1-2-Block","3-1-2-Coherence","3-1-2-CorrectResponse","3-1-2-IsCorrect","3-1-2-Order","3-1-2-Response","3-1-2-StartCorrect","3-1-2-StartDuration","3-1-2-StartScore","3-1-2-Time","3-1-3-Angle","3-1-3-Block","3-1-3-Coherence","3-1-3-CorrectResponse","3-1-3-IsCorrect","3-1-3-Order","3-1-3-Response","3-1-3-StartCorrect","3-1-3-StartDuration","3-1-3-StartScore","3-1-3-Time","3-1-4-Angle","3-1-4-Block","3-1-4-Coherence","3-1-4-CorrectResponse","3-1-4-IsCorrect","3-1-4-Order","3-1-4-Response","3-1-4-StartCorrect","3-1-4-StartDuration","3-1-4-StartScore","3-1-4-Time","3-1-5-Angle","3-1-5-Block","3-1-5-Coherence","3-1-5-CorrectResponse","3-1-5-IsCorrect","3-1-5-Order","3-1-5-Response","3-1-5-StartCorrect","3-1-5-StartDuration","3-1-5-StartScore","3-1-5-Time","3-1-6-Angle","3-1-6-Block","3-1-6-Coherence","3-1-6-CorrectResponse","3-1-6-IsCorrect","3-1-6-Order","3-1-6-Response","3-1-6-StartCorrect","3-1-6-StartDuration","3-1-6-StartScore","3-1-6-Time","3-1-7-Angle","3-1-7-Block","3-1-7-Coherence","3-1-7-CorrectResponse","3-1-7-IsCorrect","3-1-7-Order","3-1-7-Response","3-1-7-StartCorrect","3-1-7-StartDuration","3-1-7-StartScore","3-1-7-Time","3-1-8-Angle","3-1-8-Block","3-1-8-Coherence","3-1-8-CorrectResponse","3-1-8-IsCorrect","3-1-8-Order","3-1-8-Response","3-1-8-StartCorrect","3-1-8-StartDuration","3-1-8-StartScore","3-1-8-Time","3-Finished","3-FinishGain","3-MaxDuration","3-PotentialGain","3-RequiredAccuracy","3-StartGain","4-Finished","4-MaxDuration","4-PotentialGain","4-RequiredAccuracy","4-StartGain","age","blockorder","condition","country","finished","gainfinish","gainstart","gender","source","stage","started","Stats-Blank-Average","Stats-Blank-Max","Stats-Blank-Min","Stats-Blank-Stdev","subjectid","Tag","UserAgent","UpdatedIP","CreatedIP","Updated","Created",
"11007","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","4","1","2","5494.709916262262","","1425","270","3","0.15","1","-1","1","-1","0","0","","-1","270","3","0.20","1","1","3","1","1","4075.0436748986103","","1404","270","3","0.25","1","1","2","1","0","3004.5250058885867","","1064","90","3","0.10","2","1","6","2","4","7788.428212143408","","843","90","3","0.15","2","1","7","2","5","8640.75036076724","","551","90","3","0.20","2","1","5","2","3","6934.587597322403","","848","90","3","0.25","2","1","8","2","6","9197.675016672161","","732","1","0","0","0","0","0","0","0","0","0","0","18","[1,2,3,4]","1","Australia","1","0","0","female","firstyear","1","1","500.41","500.87","500.09","0.23","1050","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","10.16.96.245","10.16.96.245","27-02-2018 13:05:41","27-02-2018 13:04:05",
"11012","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","4","1","0","5284.069363202361","","1107","270","3","0.15","1","0","5","2","1","6402.993156962024","","835","270","3","0.20","1","0","8","2","2","9280.999990648371","","710","270","3","0.25","1","0","2","2","0","3005.5709272585372","","1285","90","3","0.10","2","0","7","1","2","8228.855725754765","","1043","90","3","0.15","2","0","3","1","0","4298.361247878362","","974","90","3","0.20","2","1","6","2","1","7243.543592513088","","973","90","3","0.25","2","-1","1","-1","0","0","","-1","1","0","0","0","0","0","0","0","0","0","0","18","[1,2,3,4]","1","Australia","1","0","0","female","firstyear","1","1","500.44","500.52","500.16","0.12","1051","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","10.16.97.54","10.16.97.54","27-02-2018 13:57:16","27-02-2018 13:55:33",
"11017","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","5","2","2","8265.023063399188","","1435","270","3","0.15","1","1","4","1","1","6794.707984401495","","1465","270","3","0.20","1","0","6","2","2","9705.614061542874","","2200","270","3","0.25","1","1","8","1","3","13118.13299854577","","956","90","3","0.10","2","-1","1","-1","0","0","","-1","90","3","0.15","2","0","3","1","1","5392.331448984623","","1397","90","3","0.20","2","1","2","2","0","3005.562452365237","","2377","90","3","0.25","2","1","7","2","2","11912.87166790571","","1200","1","0","0","0","0","0","0","0","0","0","0","34","[1,2,3,4]","2","Australia","1","0","0","female","community","1","1","502.06","512.81","500.47","4.07","1052","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","10.16.97.54","10.16.97.54","27-02-2018 14:30:57","27-02-2018 14:28:16",
"11018","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","6","2","3","4624.585096254159","","540","270","3","0.15","1","0","2","2","1","1404.1199014108642","","754","270","3","0.20","1","1","1","1","0","0","","1398","270","3","0.25","1","0","8","2","3","5902.156651990517","","611","90","3","0.10","2","0","5","1","3","3703.3655203370726","","916","90","3","0.15","2","1","3","2","1","2176.7076441649842","","741","90","3","0.20","2","0","7","1","3","5180.25072781671","","715","90","3","0.25","2","1","4","2","2","2931.3710190719794","","766","1","0","0","0","0","0","0","0","0","0","0","19","[1,2,3,4]","1","Australia","1","0","0","female","community","1","1","502.09","513.29","500.46","4.23","1054","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","10.16.96.240","10.16.96.240","27-02-2018 14:29:52","27-02-2018 14:28:45",
"11019","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","1","1","0","0","","1443","270","3","0.15","1","1","3","1","2","2971.799078516633","","997","270","3","0.20","1","1","7","1","5","8616.280728045516","","1125","270","3","0.25","1","1","5","1","4","5327.2414472303935","","959","90","3","0.10","2","0","6","1","5","6295.9162143316935","","2308","90","3","0.15","2","1","2","2","1","1452.5514381885514","","1509","90","3","0.20","2","1","8","2","6","9755.59006556058","","1201","90","3","0.25","2","1","4","2","3","3974.515718579947","","1341","1","0","0","0","0","0","0","0","0","0","0","24","[1,2,3,4]","2","malaysia","1","0","0","female","community","1","1","501.95","512.27","500.22","3.9","1053","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","10.16.96.245","10.16.96.245","27-02-2018 14:30:26","27-02-2018 14:28:59",
"11023","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","-1","2","-1","1","2086.6951091462397","","-1","270","3","0.15","1","1","5","1","2","7815.78122182651","","1530","270","3","0.20","1","0","3","2","1","5093.60418273363","","1647","270","3","0.25","1","1","6","1","3","9352.302844316153","","1329","90","3","0.10","2","1","7","2","4","10688.178447092061","","1135","90","3","0.15","2","0","8","1","5","11829.528939818723","","1424","90","3","0.20","2","1","1","2","0","0","","2076","90","3","0.25","2","1","4","2","1","6746.683180020795","","1060","1","0","0","0","0","0","0","0","0","0","0","23","[1,2,3,4]","1","Malaysia","1","0","0","male","community","1","1","500.4","500.54","500.2","0.11","1055","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","10.16.97.79","10.16.97.79","27-02-2018 14:33:21","27-02-2018 14:32:00",
"11037","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","8","2","1","9013.777000000118","","1385","270","3","0.15","1","-1","1","-1","0","0","","-1","270","3","0.20","1","0","6","2","1","6781.337000007625","","1245","270","3","0.25","1","0","3","2","0","3881.7800000106217","","735","90","3","0.10","2","0","2","1","0","3015.460000009625","","857","90","3","0.15","2","0","5","1","1","5864.320000007865","","917","90","3","0.20","2","0","7","1","1","8030.83700001298","","980","90","3","0.25","2","1","4","2","0","4614.820000017062","","1249","1","0","0","0","0","0","0","0","0","0","0","22","[1,2,3,4]","2","USA","1","0","0","female","mturk","1","1","514.46","516.46","500.43","5.3","1056","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","75.132.129.135","75.132.129.135","28-02-2018 08:40:36","28-02-2018 08:39:34",
"11039","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","8","2","3","12949.481999996351","","1890","270","3","0.15","1","1","4","1","1","6066.423999996914","","1676","270","3","0.20","1","0","2","2","0","3016.5459999989253","","1615","270","3","0.25","1","0","5","2","2","7749.689999996917","","1690","90","3","0.10","2","1","3","2","0","4633.148000000801","","1438","90","3","0.15","2","1","6","2","2","9432.95599999692","","1683","90","3","0.20","2","-1","1","-1","0","0","","-1","90","3","0.25","2","0","7","1","3","11116.221999996924","","1838","1","0","0","0","0","0","0","0","0","0","0","49","[1,2,3,4]","1","United States","1","0","0","male","mturk","1","1","516.65","516.65","516.65","0","1057","Study 4a","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","71.8.86.183","71.8.86.183","28-02-2018 08:42:48","28-02-2018 08:41:11",
"11041","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","8","2","5","9766.959000000497","","2049","270","3","0.15","1","1","7","1","4","8733.588000002783","","1034","270","3","0.20","1","1","1","1","0","0","","818","270","3","0.25","1","1","6","1","3","7666.884000005666","","1060","90","3","0.10","2","1","4","2","2","2183.4320000198204","","2486","90","3","0.15","2","0","3","1","2","1466.7330000083894","","711","90","3","0.20","2","-1","5","-1","3","4666.821000020718","","-1","90","3","0.25","2","1","2","2","1","816.6999999957625","","656","1","0","0","0","0","0","0","0","0","0","0","47","[1,2,3,4]","2","united states","1","0","0","male","mturk","1","1","500.07","500.34","500.03","0.1","1058","Study 4a","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/64.0.3282.167 Chrome/64.0.3282.167 Safari/537.36","67.170.142.201","67.170.142.201","28-02-2018 08:46:47","28-02-2018 08:44:36",
"11044","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","4","1","2","4433.0600000103","","1185","270","3","0.15","1","0","6","2","3","7016.134999983478","","1157","270","3","0.20","1","1","7","1","3","8182.685000007041","","873","270","3","0.25","1","1","3","1","1","3449.8250000178814","","986","90","3","0.10","2","0","1","1","0","0","","1559","90","3","0.15","2","0","8","1","4","9065.93000004068","","1372","90","3","0.20","2","1","2","2","0","1566.6799999889918","","1871","90","3","0.25","2","0","5","1","3","5616.275000036694","","1393","1","0","0","0","0","0","0","0","0","0","0","54","[1,2,3,4]","2","United States","1","0","0","male","mturk","1","1","514.56","516.62","500.19","5.43","1061","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36","65.88.88.156","65.88.88.156","28-02-2018 08:50:39","28-02-2018 08:49:02",
